Vehicle_Name,Battery_Info,Acceleration_0to100_Sec,Top_Speed_KmH,Range_Km,Efficiency_WhKm,Fast_Charge_Speed_KmH,Drive_Type,Seats,Price_Germany_EUR,Price_UK_GBP,Battery_Capacity_kWh,Brand,Efficiency_Category,Range_Category,Performance_Category
Mercedes EQS 580 4MATIC,Battery Electric Vehicle |       107.8 kWh,4.3,210,610,177,800.0,All Wheel Drive,5,"€135,529","£115,000",107.8,Mercedes,Good,Very Long,Sport
Tesla Model 3 Standard Range Plus,Battery Electric Vehicle |       50 kWh ,5.6,225,340,147,680.0,Rear Wheel Drive,5,"€43,560","£40,990",50.0,Tesla,Excellent,Long,Performance
Polestar 2 Standard Range Single Motor,Battery Electric Vehicle |       61 kWh ,7.4,160,350,174,450.0,Front Wheel Drive,5,"€46,500","£39,900",61.0,Polestar,Good,Long,Performance
Polestar 2 Long Range Single Motor,Battery Electric Vehicle |       75 kWh ,7.4,160,425,176,550.0,Front Wheel Drive,5,"€49,500","£42,900",75.0,Polestar,Good,Very Long,Performance
Polestar 2 Long Range Dual Motor,Battery Electric Vehicle |       75 kWh ,4.7,205,395,190,510.0,All Wheel Drive,5,"€52,500","£45,900",75.0,Polestar,Average,Long,Sport
Volkswagen ID.4 Pure,Battery Electric Vehicle |       52 kWh,10.9,160,285,182,410.0,Rear Wheel Drive,5,"€36,950","£32,150",52.0,Volkswagen,Average,Medium,Standard
Audi Q4 e-tron 40,Battery Electric Vehicle |       76.6 kWh,8.5,160,405,189,500.0,Rear Wheel Drive,5,"€47,500","£44,990",76.6,Audi,Average,Very Long,Standard
Audi Q4 e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,6.2,180,385,199,470.0,All Wheel Drive,5,"€53,600","£51,370",76.6,Audi,Average,Long,Performance
Audi Q4 Sportback e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,6.2,180,400,192,490.0,All Wheel Drive,5,"€55,600","£52,870",76.6,Audi,Average,Long,Performance
Mercedes EQB 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,6.5,160,340,196,400.0,All Wheel Drive,7,"€60,000","£50,000",66.5,Mercedes,Average,Long,Performance
Volkswagen ID.4 GTX,Battery Electric Vehicle |       77 kWh,6.2,180,400,193,490.0,All Wheel Drive,5,"€50,415","£55,540",77.0,Volkswagen,Average,Long,Performance
Mercedes EQA 300 4MATIC,Battery Electric Vehicle |       66.5 kWh,7.7,160,350,190,420.0,All Wheel Drive,5,"€53,538",,66.5,Mercedes,Average,Long,Performance
Mercedes EQA 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,6.0,160,350,190,420.0,All Wheel Drive,5,"€56,216",,66.5,Mercedes,Average,Long,Performance
Toyota PROACE Verso M 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,185,243,250.0,Front Wheel Drive,7,"€58,530",,45.0,Toyota,Below Average,Short,Economy
Toyota PROACE Verso L 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,180,250,240.0,Front Wheel Drive,7,"€59,385",,45.0,Toyota,Below Average,Short,Economy
Toyota PROACE Verso M 75 kWh,Battery Electric Vehicle |       68 kWh ,13.1,130,270,252,290.0,Front Wheel Drive,7,"€64,530",,68.0,Toyota,,Medium,Economy
Toyota PROACE Verso L 75 kWh,Battery Electric Vehicle |       68 kWh ,13.1,130,270,252,290.0,Front Wheel Drive,7,"€65,385",,68.0,Toyota,,Medium,Economy
CUPRA Born 150 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,7.3,160,350,166,440.0,Rear Wheel Drive,5,"€36,770","£30,500",58.0,CUPRA,Good,Long,Performance
CUPRA Born 170 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,6.6,160,345,168,430.0,Rear Wheel Drive,5,"€39,000","£31,500",58.0,CUPRA,Good,Long,Performance
CUPRA Born 170 kW - 82 kWh,Battery Electric Vehicle |       77 kWh,7.0,160,450,171,550.0,Rear Wheel Drive,5,"€43,000","£42,000",77.0,CUPRA,Good,Very Long,Performance
BMW i4 M50,Battery Electric Vehicle |       80.7 kWh,3.9,225,450,179,630.0,All Wheel Drive,5,"€69,900","£63,905",80.7,BMW,Good,Very Long,Sport
Volvo XC40 Recharge Twin Pure Electric,Battery Electric Vehicle |       75 kWh,4.9,180,340,221,440.0,All Wheel Drive,5,"€59,250","£49,950",75.0,Volvo,Below Average,Long,Sport
Renault Megane E-Tech Electric,Battery Electric Vehicle |       60 kWh ,8.0,160,335,179,480.0,Front Wheel Drive,5,"€38,000","£32,500",60.0,Renault,Good,Long,Performance
Peugeot e-Rifter Standard 50 kWh,Battery Electric Vehicle |       45 kWh ,11.7,135,200,225,270.0,Front Wheel Drive,7,"€37,590","£30,375",45.0,Peugeot,Below Average,Short,Standard
Peugeot e-Rifter Long 50 kWh,Battery Electric Vehicle |       45 kWh ,11.7,135,195,231,260.0,Front Wheel Drive,7,"€42,590","£32,455",45.0,Peugeot,Below Average,Short,Standard
MG Marvel R ,Battery Electric Vehicle |       65 kWh ,7.9,200,340,191,390.0,Rear Wheel Drive,5,"€40,000",,65.0,MG,Average,Long,Performance
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       76 kWh ,4.4,233,490,155,820.0,All Wheel Drive,5,"€53,560",,76.0,Tesla,Excellent,Very Long,Sport
MG MG5 EV Long Range,Battery Electric Vehicle |       57 kWh ,7.7,185,340,168,340.0,Front Wheel Drive,5,,"£26,495",57.0,MG,Good,Long,Performance
Audi Q4 e-tron 45 quattro,Battery Electric Vehicle |       76.6 kWh,6.9,180,385,199,470.0,All Wheel Drive,5,"€50,900",,76.6,Audi,Average,Long,Performance
Audi Q4 Sportback e-tron 40,Battery Electric Vehicle |       76.6 kWh,8.5,160,425,180,520.0,Rear Wheel Drive,5,"€49,500",,76.6,Audi,Good,Very Long,Standard
